nama_produk,harga,toko,lokasi_toko,terjual,nilai_produk,area
Seblak Instant Nagih | Seblak + Baso Aci Jajanan Milenial,10296,vieka mart official,Tangerang Selatan,15,4.3,Jabodetabek
kerupuk seblak kencur pedas 100 gram,5000,keripikususkrisis,Kab. Gresik,50,4.9,Luar Jabodetabek
cimol seblak pedas 200gr,10000,Akun_Kuliner,Tangerang Selatan,15,5.0,Jabodetabek
Kerupuk Seblak Kering Bantet Pedas Gurih Keripik Kering Renyah Halal,19970,Rendang Den Lapeh,Depok,18,4.8,Jabodetabek
seblak geprek,18500,Jajanan Hits (JS),Tangerang Selatan,9,5.0,Jabodetabek
Kerupuk Seblak,17000,Menu Ama,Tangerang Selatan,100,4.9,Jabodetabek
kerupuk oren/kerupuk seblak/kerupuk ikan tenggiri oren 1 kg,17000,kurniamakmur75,Depok,30,4.8,Jabodetabek
Cemilan Kerupuk Seblak Pedas Cemilan Imon 100Gr,15000,Moenero,Kab. Tangerang,13,5.0,Jabodetabek
sebring seblak kering bumbu kacang cikruh 1kg,15000,Baso Aci Athaya,Kab. Bandung,15,4.3,Luar Jabodetabek
krupuk seblak pedas daun jeruk bantet 500geram,24000,seblak barokah 07,Kab. Bandung,100,4.7,Luar Jabodetabek
YIMS seblak instant box termurah teh kerupuk seblak pedas khas garut,8500,Yimshop,Semarang,70,4.6,Luar Jabodetabek
KERUPUK SEBLAK PEDAS 200g,12000,hilmandza,Kab. Tangerang,30,5.0,Jabodetabek
50 SIOMAY Cuanki Kering bahan Pelengkap Boci seblak dan cuanki,17999,lahawelah,Kab. Garut,250,4.9,Luar Jabodetabek
"baso aci masabi ( boci, tulang rangu, cuanki, seblak, bapper)",7500,jajanan masabi,Jakarta Selatan,50,5.0,Jabodetabek
- Seblak Rafael Asli Original | Seblak Coet Mamang Rafael #,37000,joniludiansyah,Bandung,3,5.0,Luar Jabodetabek
Sami Raos Baso MIE SEBLAK Geprek Khas Garut 135 Gram,16500,Alanza Frozen Food,Tangerang Selatan,16,5.0,Jabodetabek
SEBLAK KENCUR 75 gram,7000,Vavivo Tart & Cake,Kab. Bogor,13,5.0,Jabodetabek
Bumbu Seblak Samara Micron,12000,Sosis Paskali Official,Bandung,100,5.0,Luar Jabodetabek
seblak basreng pedas original exstra daun jeruk 500gram,25000,Seblak putra bandung,Kab. Bandung,250,4.8,Luar Jabodetabek
Kerupuk Mawar Putih Bulat Mentah / Bahan Seblak 1kg Gurih dan Enak,11000,De Kriuk,Kab. Brebes,10,5.0,Luar Jabodetabek
Paket 7 Pcs Batagor Kuah Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,120000,Central Seblak Nusantara,Tangerang Selatan,11,4.8,Jabodetabek
Basreng Pedas Cikruh Seblak Bantet Cikruh Daun Jeruk Kemasan Ekonomis,3000,Bang Bana,Kab. Malang,500,4.9,Luar Jabodetabek
Maicih Seblak Keju,19900,Gerai Snack Official Shop,Kab. Tangerang,500,4.7,Jabodetabek
Cirambay Terciduk/Aci Rambay Pedas Bumbu Cikruh Bisa Goreng Atau Kuah,18700,Gerai Snack Official Shop,Kab. Tangerang,100,4.7,Jabodetabek
Baso Aci Mie Nyemek Teh Shanty Original Lengkap Dengan Gurilem 200g,22900,Gerai Snack Official Shop,Kab. Tangerang,100,5.0,Jabodetabek
KERUPUK SNACK SEBLAK ADA 5 VARIAN LEVEL,12500,BoboShop805,Jakarta Utara,6,5.0,Jabodetabek
Seblak instan cuanki/Seblak instan murah/Seblak instan mie,4900,Komasnack,Kab. Mojokerto,10,5.0,Luar Jabodetabek
Gelichips Seblak Kering Sebring Camilan Kerupuk Pedas Daun Jeruk 65 gr,12500,Lidigeli,Kab. Garut,40,4.5,Luar Jabodetabek
kerupuk seblak mawar pedas daun jeruk,7999,uus shop 02,Surabaya,40,4.8,Luar Jabodetabek
KRUPUK JABLAY PEDAS 500Gram/KRUPUK SEBLAK/SEBLAK KERING/SNACK KILOAN,22999,Agen Snack Murah,Jakarta Barat,50,4.9,Jabodetabek
Seblak Kencur 250gr/Kerupuk Seblak Rasa Kencur/Snack Cemilan,11600,Agen Snack Murah,Jakarta Barat,100,5.0,Jabodetabek
Seblak Koin,17500,Official Kartika Sari,Bandung,500,5.0,Luar Jabodetabek
Seblak makroni pedas gurih ekstra daun jeruk 100 gram,5000,Seblak putra bandung,Kab. Bandung,100,4.8,Luar Jabodetabek
